Highlight;Title;Author;URL;Note;Location;Date
Rozdział 21. Nie daj się kanałom informacyjnymDarmowe rozszerzenie przeglądarki o nazwie News Feed Eradicator for Facebook robi dokładnie to, na co wskazuje jego nazwa: eliminuje źródło niezliczonych, kuszących zewnętrznych bodźców i zastępuje je inspirującym cytatem[1].;Nierozpraszalni;Nir Eyal;;news feed eradicator;114;2023.02.11 23:52
(Odsyłacze do moich narzędzi służących do walki z dekoncentrującymi bodźcami znajdziesz na stronie NirAndFar.com/ Indistractable).;Nierozpraszalni;Nir Eyal;;narzedzia do koncentracji;114;2023.02.11 23:54
Dzięki unikaniu kanałów informacyjnych zyskujemy większą szansę na przemyślane posługiwanie się serwisami społecznościowymi, a zarazem dajemy sobie czas na aktywny kontakt z ludźmi;Nierozpraszalni;Nir Eyal;;aktywny kontakt;116;2023.02.11 23:57
Możesz „zhakować” YouTube’a poprzez usunięciedekoncentrujących miniatur filmów i reklam;Nierozpraszalni;Nir Eyal;;DFTube;117;2023.02.12 00:01
Tablice — strumienie informacji, które przewijamy w mediach społecznościowych — zostały zaprojektowane tak, by pochłaniały naszą uwagę. Są pełne zewnętrznych bodźców, które mogą nas dekoncentrować.Nie daj się tablicom i przejmij nad nimi kontrolę. Używaj rozszerzeń przeglądarek, takich jak News Feed Eradicator for Facebook, Newsfeed Burner, Open Multiple Websites czy DF Tube, aby usunąć rozpraszające, zewnętrzne bodźce. (Odsyłacze do wszystkich tych usług i nie tylko znajdziesz na stronie NirAndFar.com/Indistractable).;Nierozpraszalni;Nir Eyal;;zapamietaj 20;117;2023.02.12 00:01
trwale zablokował port sieci Ethernet. „Rozwiązanie polegało na włożeniu do gniazda wtyczki Ethernet posmarowanej superglue i odpiłowaniu jej główki” — tłumaczy;Nierozpraszalni;Nir Eyal;;glue ethernet;119;2023.02.12 11:18
Ci wybitni twórcy rozumieją, że koncentracja wymaga nie tylko wyłączenia sięna dekoncentrujące bodźce, lecz także włączenia się do działania;Nierozpraszalni;Nir Eyal;;wylacz bodzce wlacz dzialanie;119;2023.02.12 11:21
Takie przyrzeczenia są skuteczne, bo umacniają deklaracje złożone w chwilach jasności umysłu i zmniejszają ryzyko postępowania wbrew własnym interesom. Na tej samej zasadzie, na jakiej podejmujemy zobowiązania w innych dziedzinach życia, możemy je zastosować jako kontrofensywę przeciwko dekoncentracji.;Nierozpraszalni;Nir Eyal;;decyzje wczasie jasnosci;121;2023.02.12 11:26
Bycie nierozpraszalnym polega nie tylko na wyłączeniu się na dekoncentrujące bodźce.Wymaga ono także włączenia się do działania.Zobowiązania mogą zmniejszyć ryzyko dekoncentracji. Ułatwiają one postępowanie zgodnie z powziętymi z góry decyzjami.Zobowiązania należy podejmować dopiero po zastosowaniu trzech poprzednich strategii bycia nierozpraszalnym. Nie pomijaj trzech pierwszych kroków;Nierozpraszalni;Nir Eyal;;zapamietaj 21;121;2023.02.12 11:29
Rozdział 23. Zapobiegaj dekoncentracji za pomocą paktów starańKSafe jest praktycznym przykładem zobowiązania. Konkretnie zaś ilustruje on przydatność paktu starań — deklaracji, która polega na obciążeniu niepożądanego działania dodatkowym wysiłkiem. Tego typu deklaracje mogą nam pomóc w osiągnięciu nierozpraszalności;Nierozpraszalni;Nir Eyal;;wysilek na niepozadane dzialania;122;2023.02.12 11:34
Pakt starań pozwala zapobiec dekoncentracji poprzez utrudnienie niepożądanych zachowań;Nierozpraszalni;Nir Eyal;;utrudnianie;122;2023.02.12 11:35
SelfControl, która blokuje mi dostęp do wielu dekoncentrujących stron internetowych;Nierozpraszalni;Nir Eyal;;aplikacja blokujaca www;122;2023.02.12 11:36
Forest;Nierozpraszalni;Nir Eyal;;aplikacja drzewko;123;2023.02.12 11:37
Ponieważ przez większość poranków siedzimy przy sąsiednich biurkach w moim domowym biurze, ustaliliśmy, że będziemy pracować w krótkich „sprintach”, które trwają czterdzieści pięć minut. Widząc go zapracowanego — zwłaszcza w porach, gdy sam powinienem się zajmować ważnymi sprawami — i wiedząc o tym, że on mnie widzi, staram się w dwójnasób. Ustalenie z przyjacielem czasu na wspólną, wymagającą skupienia pracę okazało się skutecznym sposobem na zobowiązanie się do zrobienia tego, co najistotniejsze.;Nierozpraszalni;Nir Eyal;;wspolne 45min sprinty;125;2023.02.12 11:41
Focusmate.com;Nierozpraszalni;Nir Eyal;;strona do wspolnego skupienia;125;2023.02.12 11:42
Pakt starań zapobiega dekoncentracji poprzez utrudnienie niepożądanych zachowań.W epoce komputerów osobistych presja społeczna na realizowanie swoich zadań w pracy w dużej mierze zniknęła. Nikt nie widzi, czym się w danej chwili zajmujesz, łatwiej jest więc się obijać. Wspólna praca z kolegą lub przyjacielem przez określony czas może być bardzo skutecznym paktem starań.Możesz ograniczyć korzystanie z technologii za pomocą… technologii. Programy takie jak SelfControl, Forest i Focusmate ułatwiają zawieranie paktów starań;Nierozpraszalni;Nir Eyal;;zapamietaj 22;126;2023.02.12 11:43
Rozdział 24. Zapobiegaj dekoncentracji za pomocą paktów kosztówW ramach wyjaśnienia wyników jeden z autorów eksperymentu napisał, że „ludzie zwykle są bardziej skłonni do unikania strat niż do osiągania zysków”. Fiasko boli bardziej, niż cieszy wygrana. Ta irracjonalna skłonność, nazywana „awersją do strat”, jest fundamentem ekonomii behawioralnej.;Nierozpraszalni;Nir Eyal;;awersja do strat;128;2023.02.12 11:46
Po zarezerwowaniu czasu w grafiku przykleiłem taśmą klejącą do ściany pachnącą nowością studolarówkę — tuż przy kalendarzu, obok daty następnego treningu. Następnie za 99 centów kupiłem zapalniczkę i położyłem ją nieopodal banknotu. Codziennie miałem prosty wybór: albo będę spalał kalorie na treningach, albo spalę studolarówkę;Nierozpraszalni;Nir Eyal;;palenie dolarow;128;2023.02.12 11:48
Pułapka 1. Pakty kosztów nie nadają się do zmieniania zachowań wywoływanych przez niedające się uniknąć, zewnętrzne bodźcePułapka 1. Pakty kosztów nie nadają się do zmieniania zachowań wywoływanych przez niedające się uniknąć, zewnętrzne bodźce;Nierozpraszalni;Nir Eyal;;pakty nie dla bodzcow zewnetrznych;130;2023.02.12 11:52
Pułapka 4. Pakty kosztów nie sprawdzają się u bardzo samokrytycznych osóbPułapka 2. Pakty kosztów powinny być stosowane wyłącznie w przypadku krótkich zadań;Nierozpraszalni;Nir Eyal;;pakty a Krotkie zadania;131;2023.02.12 11:54
Pułapka 3. Zawarcie paktu kosztów budzi lęk;Nierozpraszalni;Nir Eyal;;badz swiadom leku;131;2023.02.12 11:55
Pułapka 4. Pakty kosztów nie sprawdzają się u bardzo samokrytycznych osób;Nierozpraszalni;Nir Eyal;;uwazaj z samokrytyka;131;2023.02.12 12:00
Pakt kosztów polega na wyznaczeniu pewnej ceny za niekonsekwencję. Udowodniono, że stanowi to bardzo skuteczną motywację.Pakty kosztów są najbardziej efektywne wtedy, gdy możesz wyeliminować zewnętrzne bodźce, które Cię dekoncentrują.Pakty kosztów działają najlepiej w przypadku przejściowej dekoncentracji.Czasami trudno jest zawrzeć pakt kosztów. Mamy przed nimi opory, bo wiemy, że będziemy musieli zrobić to, czego się obawiamy.Przed zawarciem paktu kosztów naucz się wyrozumiałości dla samego siebie;Nierozpraszalni;Nir Eyal;;zapamietaj 23;132;2023.02.12 11:59
Tożsamość jest kognitywnym skrótem, który pomaga mózgowi w podejmowaniu trudnych wyborów, a tym samym upraszcza proces decyzyjny.Postrzeganie samego siebie rzutuje na to, co robimy;Nierozpraszalni;Nir Eyal;;to Kim Się czujemy to robimy;134;2023.02.14 22:23
Autorzy badania przypisali różnicę „efektowi wzmocnienia psychologicznego” związanego z mówieniem „nie robię [tego]” zamiast „nie mogę [tego zrobić]”. Rezultaty były podobne do tych z eksperymentu z głosowaniem: „nie mogę” ma związek z konkretnym zachowaniem, a „nie robię” mówi coś więcej o danym człowieku.;Nierozpraszalni;Nir Eyal;;zachowanie a tozsamosc;134;2023.02.14 22:27
Aby wykorzystać potęgę tożsamości w walce z dekoncentracją, możemy zawrzeć coś, co nazywam paktem tożsamości. Jest to zobowiązanie do postępowania zgodnego z określonym wizerunkiem samego siebie, który pomaga nam w realizowaniu tego, czego naprawdę chcemy;Nierozpraszalni;Nir Eyal;;pakt tozsamosci;134;2023.02.14 22:28
Mimo to dla ortodoksów obrzędy te są czymś, co po prostu się robi, niezawodnie i bez namysłu. A może dałoby się z podobnym poświęceniem podchodzić do trudnych zadań? Wyobraź sobie, że masz hart ducha pozwalający skupić się na tym, czego chcesz, z subordynacją człowieka głęboko wierzącego.Nowe badania sugerują, że świeckie rytuały w miejscu pracy i życiu osobistym mogą być niezwykle skuteczne;Nierozpraszalni;Nir Eyal;;obrzedy w pracy;136;2023.02.14 22:34
Im lepiej trzymamy się planów, tym bardziej umacniamy naszą tożsamość. Możemy też wprowadzić inne zwyczaje, z którymi będziemy się identyfikować. Ja na przykład mam rytuał powtarzania każdego dnia rano krótkich mantr. Zbierałem je przez lata i wypowiadam, zanim przystąpię do pracy;Nierozpraszalni;Nir Eyal;;zwyczaje przed praca;136;2023.02.14 22:38
nazywania się nierozpraszalnym. Na przykład, kiedy pracuję w domu, to zanim zacznę blok pracy wymagającej skupienia, mówię żonie i córce, że jestem nierozpraszalny. Zgodnie z tym, o czym czytałeś w rozdziale osiemnastym, używam funkcji „nie przeszkadzać” w moim telefonie, aby wysyłać ludziom, próbującym się ze mną skontaktować, gdy pracuję, automatyczną odpowiedź z informacją, że jestem nierozpraszalny. Zrobiłem nawet koszulki z napisem „NIEROZPRASZALNY” z przodu;Nierozpraszalni;Nir Eyal;;nazywaj Się nierozpraszalnym;137;2023.02.14 22:39
Choć często zakładamy, że tożsamość jest czymś niezmiennym, obraz samego siebie w istocie okazuje się elastyczny — jest niczym więcej jak pewnym konstruktem umysłowym. To pewien sposób nawykowego myślenia, a jak już wiesz, nawyki można zmieniać na lepsze;Nierozpraszalni;Nir Eyal;;tozsamosc konstruktem umyslowym;137;2023.02.14 22:41
Tożsamość bardzo wpływa na nasze zachowanie. Ludzie zwykle postępują zgodnie z tym, jak się widzą.Pakt tożsamości jest zobowiązaniem do przestrzegania wizerunku samego siebie. Możesz zapobiec dekoncentracji, działając w zgodzie ze swoją tożsamością.Stań się… rzeczownikiem. Trafny przydomek zwiększa szanse na postępowanie zgodnie z;Nierozpraszalni;Nir Eyal;;zapamietaj 24.1;137;2023.02.14 22:43
tym, jak się nazwałeś. Nazwij się „nierozpraszalnym”.Bądź wzorem dla innych. Uczenie innych umacnia postanowienia, nawet jeśli sam zmagasz się z ich realizacją. Znakomity sposób na bycie nierozpraszalnym polega na opowiedzeniu przyjaciołom o tym, czego się dowiedziałeś z tej książki, oraz o życiowych zmianach, jakie chcesz wdrożyć.Przestrzegaj rytuałów. Powtarzanie mantr, sporządzanie harmonogramu albo wykonywanie innych rutynowych czynności umacnia tożsamość i wpływa na przyszłe działania;Nierozpraszalni;Nir Eyal;;zapamietaj 24.2;138;2023.02.14 22:43
Rozdział 26. Dekoncentracja jest oznaką dysfunkcjiPokazano, że firmy, w których od pracowników oczekuje się bardzo wiele, lecz daje się im niewielką kontrolę, są siedliskiem stanów depresyjnych.Objawy przypominające depresję są dotkliwe. Złe samopoczucie skłania ludzi do dekoncentracji, pozwalającej uniknąć poczucia krzywdy i odzyskać wrażenie panowania nad sytuacją.Nadużywanie technologii w pracy jest objawem dysfunkcyjnej kultury organizacyjnej.Stosowanie większej liczby rozwiązań technicznych pogłębia zasadnicze problemy i napędza błędne koło reakcji.;Nierozpraszalni;Nir Eyal;;zapamietaj 24;144;2023.02.14 22:57
Dyskusje na temat oderwania się od pracy przemieniły się w forum otwartego dialogu;Nierozpraszalni;Nir Eyal;;forum otwartego dialogu;146;2023.02.18 22:49
Osoby należące do zespołów, które wysoko oceniają swoje bezpieczeństwo psychiczne, rzadziej opuszczają Google, częściej wykorzystują rozmaite pomysły kolegów, przynoszą większe przychody i dwukrotnie częściej niż inne są oceniane przez przełożonych jako produktywne;Nierozpraszalni;Nir Eyal;;Glowny czynnik stalych zespolow;148;2023.02.18 22:53
Świadomość, że Twój głos ma znaczenie i że nie jesteś trybikiem w bezdusznej, skostniałej machinie, ma pozytywny wpływ na samopoczucie;Nierozpraszalni;Nir Eyal;;pokaz ze nie jest się trybikiem;148;2023.02.18 22:59
stworzyć poczucie bezpieczeństwa psychologicznego? Edmondson w swoim wystąpieniu przedstawia odpowiedź w trzech punktach:Krok 1. „Potraktuj pracę jako problem intelektualny, a nie wykonawczy”. Ponieważ nigdy nie wiadomo, co się wydarzy, podkreśl, że „musimy znać opinie i pomysły wszystkich”.Krok 2. „Uznaj swoją omylność”. Menedżerowie muszą sygnalizować ludziom, że nikt nie jest wszechwiedzący — wszyscy jedziemy na jednym;Nierozpraszalni;Nir Eyal;;tworzenie bezpieczenstwa;148;2023.02.18 23:01
wózku.Krok 3. Liderzy powinni „stymulować ciekawość i zadawać wiele pytań”[4];Nierozpraszalni;Nir Eyal;;tworzenue bezpieczenstwa 2;149;2023.02.18 23:01
Nie cierp w milczeniu. Miejsce pracy, w którym ludzie nie mogą rozmawiać na temat nadużywania technologii, niestety sprzyja też przemilczaniu innych ważnych problemów (i spostrzeżeń).Bardzo ważna jest świadomość istotności własnej opinii. Organizacje, które dbają o bezpieczeństwo psychologiczne i regularnie organizują otwarte dyskusje na temat wątpliwości, rzadziej borykają się z kwestią dekoncentracji, a ich pracownicy (i klienci) są bardziej zadowoleni.;Nierozpraszalni;Nir Eyal;;zapamietaj 25;149;2023.02.18 23:04
Shevat podziela zdanie Macaitisa. Jak sam powiedział, „w byciu offline nie ma nic złego”.;Nierozpraszalni;Nir Eyal;;bycie offline;151;2023.02.19 11:30
Zgodnie z tym, o czym przeczytałeś w części pierwszej, walka z dekoncentracją zaczyna się od zrozumienia tego, co dzieje się w nas samych;Nierozpraszalni;Nir Eyal;;rozum co sie dzieje;151;2023.02.19 11:34
Organizacje, w których można pracować bez zakłóceń, takie jak Slack czy BCG, sprzyjają psychologicznemu bezpieczeństwu, zapewniają forum dla otwartych dyskusji na temat obaw pracowników, a przede wszystkim mają liderów, którzy podkreślają znaczenie skupienia przy pracy;Nierozpraszalni;Nir Eyal;;zapamietaj 26;153;2023.02.19 11:40
Rozdział 29. Unikaj wygodnych wymówekUmiejętność bycia nierozpraszalnym będzie służyć dzieciom bez względu na to, jaką ścieżką życia podążą i jakie formy przybiera ich skłonność do rozpraszania uwagi. Jeśli chcemy im pomóc we wzięciu odpowiedzialności za własne wybory, musimy przestać się zasłaniać wygodnymi wymówkami, tłumaczącymi ich (i nasze) zachowania.;Nierozpraszalni;Nir Eyal;;wygodne wymowki;158;2023.02.19 11:51
Nie obwiniaj. Gdy dzieci nie zachowują się zgodnie z oczekiwaniami, rodzicom łatwo jest imać się rozwiązań, które pomagają w uniknięciu poczucia odpowiedzialności.Lęk przed wynalazkami nie jest nowy. Od książek, przez radio, po gry wideo, historia rodzicielstwa jest przesiąknięta moralnymi niepokojami z powodu rzeczy, które rzekomo skłaniają dzieci do dziwnych zachowań.Technika nie jest zła. Używana właściwie i w odpowiedniej ilości może być korzystna, dopiero jej nadmiar (albo niedostatek) może mieć nieznacznie szkodliwe skutki.Ucz dzieci bycia nierozpraszalnymi. Pokazywanie dzieciom, jak panować nad skłonnościami do dekoncentracji, będzie procentowało przez całe życie;Nierozpraszalni;Nir Eyal;;zapamietaj 27;159;2023.02.19 11:54
Lekcja 1. Dzieci potrzebują autonomii — wolności i samostanowieniaIch „teoria samodeterminacji” (ang. self-determination theory) jest powszechnie uważana za fundament psychologicznego dobrostanu;Nierozpraszalni;Nir Eyal;;psychologiczny dobrostan;160;2023.02.19 11:56
Tak jak organizm człowieka potrzebuje do prawidłowego funkcjonowania trzech makroskładników (białek, węglowodanów i tłuszczów), tak według teorii Ryana i Deciego psychika ludzka potrzebuje trzech czynników, aby mogła się rozwijać: autonomii, kompetencji i istotności;Nierozpraszalni;Nir Eyal;;3 czynniki;160;2023.02.19 11:57
Bez wystarczającej ilości autonomii, kompetencji i istotności dzieci szukają psychologicznego zaspokojenia w dekoncentrujących atrakcjach;Nierozpraszalni;Nir Eyal;;braki zastepowane dekoncetracja;160;2023.02.19 11:59
"Psycholog Suzanne Gaskins przez dziesięciolecia badała wioski Majów i w wywiadzie dla NPR powiedziała, że tamtejsi rodzice dają swoim dzieciom ogromną swobodę. „To nie matki wyznaczają cele, a potem zachęcają i nagradzają, by je osiągać; to dziecko wyznacza sobie cel. Dopiero wtedy rodzice wspierają je w miarę swoich możliwości";Nierozpraszalni;Nir Eyal;;dzieci majow;161;2023.02.19 12:04
dzieci mogą przestać starać się panować nad swoją uwagą, jeśli zawsze dba o nią ktoś dorosły”[4]. Innymi słowy, dzieci mogą uwarunkować się na utratę kontroli nad uwagą i w rezultacie stać się bardzo rozkojarzone;Nierozpraszalni;Nir Eyal;;NiE musisz jesli ktos inny to robi za ciebie;161;2023.02.19 12:05
Lekcja 3. Dzieci chcą być istotne — czuć, że są ważne dla innych, a inni są ważni dla nichJeśli dziecko nie radzi sobie dobrze w szkole i nie otrzymuje niezbędnego, indywidualnego wsparcia, zaczyna wierzyć, że osiągnięcie oczekiwanego poziomu kompetencji jest niemożliwe — a wtedy przestaje próbować.;Nierozpraszalni;Nir Eyal;;trzeba wierzyc aby probowac;163;2023.02.19 12:13
dzieci zajmują się w szkole czymś, czego nie lubią i nie doceniają, a na dodatek nie dostrzegają możliwości doskonalenia się, to „nie powinno nas dziwić, że wieczorami wolą porobić coś, co pozwala im zyskać poczucie kompetencji”.;Nierozpraszalni;Nir Eyal;;poczucie doskonalenia;163;2023.02.19 12:28
dzieci nie otrzymuje wystarczającej ilości trzech podstawowych psychologicznych składników odżywczych — poczucia autonomii, kompetencji i istotności — w życiu offline. Nic więc dziwnego, że dzieci szukają ich zamienników w internecie. „Nazywamy to »hipotezą skupienia potrzeb«[*], [13]. Im słabiej zaspokojone są twoje życiowe potrzeby, tym chętniej sycisz je w wirtualnej rzeczywistości” —;Nierozpraszalni;Nir Eyal;;hipoteza skupienia potrzeb;164;2023.02.19 12:36
"Na podstawie badań Ryan doszedł do wniosku, że „nadużywanie [technologii] jest symptomem; jednym z przejawów pustki w innych dziedzinach życia, takich jak szkoła i dom”. Gdy trzy wymienione potrzeby są zaspokojone, ludzie są bardziej zmotywowani, produktywni, wytrwalsi i bardziej kreatywni.";Nierozpraszalni;Nir Eyal;;naduzywanie technologii a pustka;165;2023.02.19 12:38
Możesz zacząć od podzielenia się z dzieckiem kilkoma poznanymi w części pierwszej metodami radzenia sobie z problemami i przeformułowywania ich. Opowiedz mu, jak zmieniłeś swoje postępowanie, aby uporać się z dekoncentrującymi bodźcami — odsłonięcie się i pokazanie dzieciom, że rozumiemy ich zmagania oraz stajemy przed podobnymi wyzwaniami, pomaga w budowaniu zaufania.;Nierozpraszalni;Nir Eyal;;pokaz jak ty sobie radzisz;165;2023.02.19 12:39
Wewnętrzne bodźce wywołują określone zachowania. Aby zrozumieć, jak pomóc dzieciom radzić sobie z nieuwagą, musimy zacząć od poznania źródła problemu.Dzieci potrzebują psychologicznych składników odżywczych. Zgodnie z powszechnie uznawaną teorią motywacji w celu osiągnięcia dobrostanu wszyscy ludzie potrzebują trzech;Nierozpraszalni;Nir Eyal;;zapamietaj 28.1;165;2023.02.19 12:44
składników: poczucia autonomii, kompetencji i istotności.Dekoncentrujące atrakcje uśmierzają deficyty. Jeśli potrzeby psychologiczne dziecka nie zostaną zaspokojone w „prawdziwym świecie”, zwróci się ono gdzie indziej — często do wirtualnego otoczenia.Dzieci potrzebują alternatyw. Rodzice i opiekunowie mogą podjąć działania, które pomogą dzieciom znaleźć równowagę między czasem online a offline, poprzez zapewnienie większej liczby okazji do nabrania poczucia autonomii, kompetencji i istotności w „prawdziwym świecie”.Czteroczęściowy model nierozpraszalności sprawdza się także u dzieci. Ucz je metod radzenia sobie z dekoncentrującymi bodźcami, przede wszystkim zaś sam bądź wzorem nierozpraszalności;Nierozpraszalni;Nir Eyal;;zapamietaj 28.2;166;2023.02.19 12:45
Pozwolenie dzieciom na autonomię w zakresie panowania nad swoim czasem to wielki dar. Nawet jeśli czasami się potkną, porażki są nieodłącznym elementem nauki;Nierozpraszalni;Nir Eyal;;pozwol upasc;170;2023.02.21 00:21
Dlatego lepiej jest zarezerwować wieczór — choćby jeden w tygodniu — na wspólny posiłek bez elektronicznych gadżetów. W miarę rozwoju dzieci możemy zachęcić je do brania aktywniejszego udziału w kształtowaniu rodzinnych biesiad, sugerując im na przykład urządzenie „piątku z przekąskami”, wspólne gotowanie albo podsuwanie tematów do dyskusji;Nierozpraszalni;Nir Eyal;;zarezerwuj posilek;170;2023.02.21 00:26
sunday-funday (niedziela – dzień zabawy). Polega on na tym, że na zmianę wymyślamy pomysły na trzygodzinną, wspólną aktywność. Gdy przychodzi moja kolej, proponuję wyjście do parku albo długi spacer i rozmowę. Córka zwykle wybiera grę planszową. Żona często sugeruje wyprawę na miejscowy targ, aby zobaczyć, co nowego i dobrego możemy zjeść. Bez względu na wybór koncepcja polega na regularnym rezerwowaniu wspólnego czasu na zaspokojenie potrzeby więzi.;Nierozpraszalni;Nir Eyal;;wspolnie zaplanowany czas;171;2023.02.21 00:34
Rozdział 31. Znajdź wspólny czas na trakcjęUcz trakcji. Przy tak wielu możliwych dekoncentrujących bodźcach w życiu dziecka uczenie go znajdowania czasu na trakcję jest niezwykle istotne.Tak jak my w naszych harmonogramach, również dzieci mogą uczyć się znajdować czas na to, co jest dla nich ważne. Jeśli nie opanują sztuki tworzenia planów, wpadną w sidła dekoncentrujących atrakcji.Nie ma nic złego w pozwalaniu dzieciom na potknięcia. Uczymy się na błędach. Pokazuj dzieciom, jak korygować plany, aby żyć zgodnie z własnymi wartościami.;Nierozpraszalni;Nir Eyal;;zapamietaj 29;171;2023.02.21 00:38
Jako rodzice często zapominamy o tym, że sam fakt, iż dziecko czegoś bardzo chce, nie jest wystarczającym powodem, by mu to dać;Nierozpraszalni;Nir Eyal;;chce nie znaczy musze;173;2023.02.22 23:36
Tak jak możesz poprosić przełożonego o czas na skupienie w pracy, tak rodzice powinni szanować harmonogramy dzieci;Nierozpraszalni;Nir Eyal;;pros o czas na skupienie;174;2023.02.22 23:46
Rozdział 32. Pomóż im się uporać z zewnętrznymi bodźcamiUcz dzieci pływać, zanim puścisz je na głęboką wodę. Zasady są podobne jak na basenie: dzieciom nie powinno się pozwalać podejmować niektórych ryzykownych działań, dopóki nie będą na nie gotowe.Sprawdź, czy są przygotowane na technologię. Dobrą miarą gotowości dziecka jest umiejętność skonfigurowania ustawień urządzenia w sposób pozwalający wyłączyć dekoncentrujące, zewnętrzne bodźce.Dzieci potrzebują snu. Nie ma większego uzasadnienia dla wyposażania pokoju dziecka w telewizor czy inne zakłócające nocny spokój gadżety. Zadbaj o to, by nic nie przeszkadzało mu wypocząć.Nie bądź złym zewnętrznym bodźcem. Szanuj czas dzieci i nie przerywaj im w porach, w których zaplanowały zajęcie się czymś w skupieniu — czy będzie to praca, czy zabawa;Nierozpraszalni;Nir Eyal;;zapamietaj 30;175;2023.02.22 23:48
Rozdział 33. Ucz je zawierać własne paktyDialog i nieporozumienia — jeśli umiemy traktować się z szacunkiem — są oznaką zdrowej rodziny;Nierozpraszalni;Nir Eyal;;dialog I nieporozumienia;178;2023.02.22 23:59
Nie bagatelizuj zdolności dziecka do podejmowania zobowiązań i konsekwentnego ich wypełniania. Nawet małe dzieci mogą nauczyć się składać obietnice, o ile same ustalą zasady i wiedzą, jak posłużyć się minutnikiem lub systemem, który ułatwi im wywiązanie się z deklaracji.Sceptycyzm konsumencki jest cenny. Świadomość faktu, że firmom zależy na tym, by dzieci spędzały czas na oglądaniu filmów lub graniu, jest ważnym aspektem uczenia młodych ludzi mądrego korzystania z mediów.Pozwól dziecku być odpowiedzialnym. Tylko te dzieci, które ćwiczą kontrolowanie własnego zachowania, mogą nauczyć się panować nad czasem i uwagą.;Nierozpraszalni;Nir Eyal;;zapamietaj 31;178;2023.02.23 00:02
Rozdział 34. Rozsiewaj przeciwciała społeczne wśród przyjaciółNormy społeczne się zmieniają, ale to od nas zależy, czy będą się zmieniać na lepsze;Nierozpraszalni;Nir Eyal;;Normy na lepsze;181;2023.02.23 00:13
przeprosić wszystkich, wyjść i zażegnać kryzysową sytuację, która zaistniała w jego smartfonie, lub (2) odłożyć urządzenie. Pytanie może brzmieć następująco: „Widzę, że wciąż zerkasz na telefon, czy wszystko jest w porządku?;Nierozpraszalni;Nir Eyal;;gdy ktos korzysta z telefonu;182;2023.02.23 00:14
warto eliminować niepożądane bodźce, aby skupić się na przyjaciołach. Jeśli nie wygospodarujemy czasu i miejsca na spokojne dyskusje, ryzykujemy utratę okazji do głębszego poznania przyjaciół, a im nie pozwolimy prawdziwie poznać nas;Nierozpraszalni;Nir Eyal;;warto eliminowac zeby Się poznac;183;2023.02.23 00:20
Dekoncentracja w sytuacjach towarzyskich uniemożliwia nam przebywanie duchem i ciałem z osobami ważnymi w naszym życiu. Wszelkie zakłócenia utrudniają budowanie bliskich więzi społecznych.Hamuj rozpowszechnianie niezdrowych zachowań. „Przeciwciała społeczne” to jedna z metod chronienia się społeczności przed szkodliwymi zachowaniami poprzez uczynienie z nich tabu.Twórz nowe normy społeczne. Możemy poradzić sobie z dekoncentracją w trakcie spotkań z przyjaciółmi, tak samo jak walczymy z paleniem — poprzez traktowanie użytkowania elektronicznych gadżetów w towarzystwie jako czegoś nieakceptowalnego. Miej w zanadrzu kilka taktownych pytań — na przykład „czy wszystko w porządku?” — aby zniechęcić znajomych do ślęczenia nad smartfonem podczas spotkań.;Nierozpraszalni;Nir Eyal;;zapamietaj 32;183;2023.02.23 00:22
Wdrożyliśmy zasadę dziesięciu minut: złożyliśmy sobie obietnicę, że jeśli najdzie nas ogromna chęć na skorzystanie ze smartfona lub laptopa, odczekamy regulaminowe dziesięć minut. Dzięki temu mogliśmy przez ten czas „surfować na fali pokus” i wymusić na sobie przerwę, pozwalającą przełamać bezmyślnie powtarzany nawyk.;Nierozpraszalni;Nir Eyal;;zasada 10 minut;185;2023.02.24 16:39
Rozdział 35. Bądź nierozpraszalnym partneremDekoncentracja może dać się we znaki nawet w najbliższych relacjach. Możliwość błyskawicznego nawiązania cyfrowego kontaktu z ludźmi jest obarczona kosztem utraty bliskości z najbliższymi.Nierozpraszalni partnerzy odzyskują czas na bycie razem. Wykonanie czterech kroków do nierozpraszalności może być gwarancją znalezienia czasu dla „drugiej połówki”.Teraz Twoja kolej — zostań nierozpraszalnym.;Nierozpraszalni;Nir Eyal;;zapamietaj 33;187;2023.02.24 16:54
Część 1. Zapanuj nad bodźcami wewnętrznymiStreszczenia rozdziałów;Nierozpraszalni;Nir Eyal;;streszczenie;190;2023.02.24 17:20
Klub dyskusyjny NierozpraszalnychKlub dyskusyjny NierozpraszalnychPora nawiązać kontakt z przyjaciółmi i przedyskutować tematy, z którymi zapoznałeś się w Nierozpraszalnych;Nierozpraszalni;Nir Eyal;;Rozmowa z przyjaciolmi;227;2023.02.24 17:13
